Ref,Our_static,Our_dynamic,Gerton_Static
0.403050865,0.011950105,0.011101576,0.04794184
0.183847763,0.01251579,0.027577164,0.034860364
0.311126984,0.028284271,0.02602153,0.040941483
0.332340187,0.003747666,0.038183766,0.033368369
0.296984848,0.025738687,0.013010765,0.012551145
0.339411255,0.016723075,0.027647875,0.017741309
0.38890873,0.028885312,0.03019346,0.019282802
0.169705627,0.028192347,0.020364675,0.008244865
0.28991378,0.011575338,0.005091169,0.002439518
0.183847763,0.008379215,0.001979899,0.001895046
0.268700577,0.003818377,0.000707107,0.000615183
0.219203102,0.053103719,0.011313708,0.028425693
0.16263456,0.050840978,0.017041273,0.021991021
0.141421356,0.020011122,0.002687006,0.022839549
0.339411255,0.026162951,0.010535891,0.01668772
0.183847763,0.020506097,0.012445079,0.019869701
0.219203102,0.007990307,0.030547013,0.014919953
0.509116882,0.00516188,0.01774838,0.018172644
0.091923882,0.006010408,0.022344574,0.018314066
0.410121933,0.001909188,0.027718586,0.021142493
0.197989899,0.004454773,0.023122392,0.017324116
0.544472222,0.000919239,0.025880108,0.014990664
0.134350288,0.009652008,0.013717872,0.004080006
0.113137085,0.010436896,0.011879394,0.001272792
0.077781746,0.007855956,0.011667262,0.001718269
0.06363961,0.012996623,0.013010765,0.004391133
0.077781746,0.004935605,0.007778175,0.003323402
0.06363961,0.00927017,0.007141778,0.00238295
0.084852814,0.005374012,0.006010408,0.002969848
0.06363961,0.003889087,0.0072832,0.002029396
0.035355339,0.021814244,0.019445436,0.000403051
0.070710678,0.019374726,0.023122392,0.000424264
0.028284271,0.034959359,0.031112698,0.001972828
0.120208153,0.00622254,0.012303658,0.006660946
0.056568542,0.016730146,0.009475231,0.004631549
0.141421356,0.005359869,0.006788225,0.000848528
0.049497475,0.003337544,0.003747666,0.005267946
0.084852814,0.003556747,0.008485281,0.010677312
0.098994949,0.001711198,0.005798276,0.014460334
0.148492424,0.013010765,0.000636396,0.022839549
0.106066017,0.022592062,0.000424264,0.013060262
0.042426407,0.022818336,0.003676955,0.013944146
0.183847763,0.005515433,0.000282843,0.003429468
0.134350288,0.00814587,0.007141778,0.003217336
0.01979899,0.001187939,0.00212132,0.021778889
0.004242641,0.003022881,0.000282843,0.015980613
0.008485281,0.018625193,0.01357645,0.009758074
0.004242641,0.003008739,0.000353553,0.002672864
0,0.003836054,0.001555635,0.002174353
0.002828427,0.003376435,0.001626346,0.001735947
0.004242641,0.004582052,0.000707107,0.000374767
0.008485281,0.003684026,0.002192031,0.000226274
0.007071068,0.005267946,0.000707107,0.000374767
0.005656854,0.004292138,0.001272792,0.000388909
0.008485281,0.004277996,0.00106066,0.001074802
0.014142136,0.002262742,0.001131371,0.003273904
0.011313708,0.001958686,0.000282843,0.003726453
0.012727922,0.005713423,0.003535534,0.000169706
0.008485281,0.002142534,0.001343503,2.12132E-05
0.011313708,0.000898026,0.003040559,0.00026163
0.005656854,0.000982878,0.001909188,9.19239E-05
0.005656854,0.003585031,0.095459415,0.00178898
0.004242641,0.00215314,0.00212132,0.001463711
0.002828427,0.003521392,0.000141421,0.001806658
0.002828427,0.00265165,0.001838478,0.001711198
0.002828427,0.003680491,0.00629325,0.00148846
0.004242641,0.00387141,0.000919239,0.001644023
0.002828427,0.003906765,0.000989949,0.001407142
0.004242641,0.002991062,0.004808326,0.00235113
0.002828427,0.002439518,0.002262742,0.001994041
0.002828427,0.021870813,0.013859293,0.001983435
0.001414214,0.004458308,0.000282843,0.002262742
0.005656854,0.002725897,0.00106066,0.001916259
0.005656854,0.002513765,0.001555635,0.001739483
0.001414214,0.002725897,0.003252691,0.001647559
0.007071068,0.003981011,0.00212132,0.001576848
0.005656854,3.53553E-05,0.002404163,0.001612203
0.004242641,0.007650895,0.003252691,0.001569777
0.005656854,0.008379215,0.007636753,0.001640488
0.005656854,0.006731657,0.007212489,0.001647559
0.004242641,0.001569777,0.000919239,0.001484924
0.008485281,0.002404163,0.001767767,0.001449569
0.002828427,0.001831407,0.000707107,0.001880904
